rank,best_loss,log_name,lr,temperature,batch_size,proj_dim
1,1.909791,lr5e-05_temp0.07_bs32_proj128,5e-05,0.07,32,128
2,1.916918,lr2e-05_temp0.05_bs32_proj128,2e-05,0.05,32,128
3,1.940745,lr2e-05_temp0.05_bs32_proj256,2e-05,0.05,32,256
4,1.948404,lr5e-05_temp0.05_bs32_proj128,5e-05,0.05,32,128
5,1.951435,lr2e-05_temp0.1_bs32_proj128,2e-05,0.1,32,128
6,1.964760,lr1e-05_temp0.05_bs32_proj256,1e-05,0.05,32,256
7,2.002126,lr2e-05_temp0.07_bs32_proj128,2e-05,0.07,32,128
8,2.003532,lr1e-05_temp0.05_bs32_proj128,1e-05,0.05,32,128
9,2.004259,lr5e-05_temp0.05_bs32_proj256,5e-05,0.05,32,256
10,2.065259,lr2e-05_temp0.07_bs32_proj256,2e-05,0.07,32,256
11,2.070668,lr1e-05_temp0.07_bs32_proj128,1e-05,0.07,32,128
12,2.083754,lr5e-05_temp0.1_bs32_proj256,5e-05,0.1,32,256
13,2.105951,lr2e-05_temp0.1_bs32_proj256,2e-05,0.1,32,256
14,2.108159,lr5e-05_temp0.07_bs32_proj256,5e-05,0.07,32,256
15,2.149230,lr1e-05_temp0.07_bs32_proj256,1e-05,0.07,32,256
16,2.209102,lr1e-05_temp0.1_bs32_proj128,1e-05,0.1,32,128
17,2.281482,lr1e-05_temp0.1_bs32_proj256,1e-05,0.1,32,256
18,2.386679,lr5e-05_temp0.1_bs32_proj128,5e-05,0.1,32,128
19,2.540469,lr5e-05_temp0.05_bs64_proj128,5e-05,0.05,64,128
20,2.549733,lr2e-05_temp0.05_bs64_proj128,2e-05,0.05,64,128
21,2.656971,lr5e-05_temp0.07_bs64_proj128,5e-05,0.07,64,128
22,2.675455,lr5e-05_temp0.07_bs64_proj256,5e-05,0.07,64,256
23,2.681041,lr5e-05_temp0.1_bs64_proj128,5e-05,0.1,64,128
24,2.751426,lr2e-05_temp0.07_bs64_proj128,2e-05,0.07,64,128
25,2.751793,lr2e-05_temp0.05_bs64_proj256,2e-05,0.05,64,256
26,2.804929,lr2e-05_temp0.07_bs64_proj256,2e-05,0.07,64,256
27,2.868788,lr1e-05_temp0.05_bs64_proj128,1e-05,0.05,64,128
28,2.898097,lr2e-05_temp0.1_bs64_proj256,2e-05,0.1,64,256
29,2.913405,lr2e-05_temp0.1_bs64_proj128,2e-05,0.1,64,128
30,3.009564,lr1e-05_temp0.05_bs64_proj256,1e-05,0.05,64,256
31,3.167746,lr5e-05_temp0.05_bs64_proj256,5e-05,0.05,64,256
32,3.172032,lr1e-05_temp0.07_bs64_proj128,1e-05,0.07,64,128
33,3.189539,lr1e-05_temp0.07_bs64_proj256,1e-05,0.07,64,256
34,3.264869,lr1e-05_temp0.1_bs64_proj128,1e-05,0.1,64,128
35,3.370710,lr1e-05_temp0.1_bs64_proj256,1e-05,0.1,64,256
36,inf,lr5e-05_temp0.1_bs64_proj256,5e-05,0.1,64,256
